INSERT INTO HARD_DRIVE VALUES( 'WD10EZEX', 'Western Digital', '44.99', '64MB', '7200RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'HN-M101MBB', 'Samsung', '0', '8MB', '5400RPM', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'ST2000NM0024', 'Seagate', '164.99', '128MB', '7200RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'WD6401AALS', 'Western Digital', '0', '32MB', '7200RPM', '640GB');
INSERT INTO HARD_DRIVE VALUES( 'MKNP22SC480GB', 'Mushkin', '395.99', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'ST3000VN0001', 'Seagate', '183.99', '128MB', '7200RPM', '3TB');
INSERT INTO HARD_DRIVE VALUES( 'MDM242-SB-016', 'MyDigitalSSD', '24.99', 'N/A', 'SSD', '16GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2CW240A3K5', 'Intel', '334.26', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'WD4000F9YZ', 'Western Digital', '217.99', '64MB', '7200RPM', '4TB');
INSERT INTO HARD_DRIVE VALUES( 'PX-256M6S', 'Plextor', '157.49', 'N/A', 'SSD', '256GB');
INSERT INTO HARD_DRIVE VALUES( 'ST9500325AS', 'Seagate', '63.99', '8MB', '5400RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( '0J11563', 'Hitachi', '59.92', '8MB', '5400RPM', '750GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSCKJW120H601', 'Intel', '69.99', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2BF240H501', 'Intel', '110.98', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( 'WD5002AALX', 'Western Digital', '79.99', '32MB', '7200RPM', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'ST6000VX0011', 'Seagate', '287.99', '128MB', '5400RPM', '6TB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2BX480G401', 'Intel', '419.99', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'ZD4CM84-HH-600G', 'OCZ', '3599.99', 'N/A', 'SSD', '600GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2CT120A3K5', 'Intel', '107.33', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'CT128M550SSD1', 'Crucial', '114.99', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'WD20NPVT', 'Western Digital', '163.00', '8MB', '5400RPM', '2TB');
INSERT INTO HARD_DRIVE VALUES( 'PX-512M6S', 'Plextor', '215.23', 'N/A', 'SSD', '512GB');
INSERT INTO HARD_DRIVE VALUES( 'SV300S3D7/60G', 'Kingston', '54.99', 'N/A', 'SSD', '60GB');
INSERT INTO HARD_DRIVE VALUES( 'PBT960GS25SSDBK', 'Patriot', '299.99', '256MB', 'SSD', '960GB');
INSERT INTO HARD_DRIVE VALUES( 'WD1503FYYS', 'Western Digital', '199.99', '64MB', '7200RPM', '1.5TB');
INSERT INTO HARD_DRIVE VALUES( 'WD7501AALS', 'Western Digital', '0', '32MB', '7200RPM', '750GB');
INSERT INTO HARD_DRIVE VALUES( 'VTX460A-25SAT3-240G', 'OCZ', '109.95', 'N/A', 'SSD', '240GB');
INSERT INTO HARD_DRIVE VALUES( '7Y250M0', 'Maxtor', '0', '8MB', '7200RPM', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'MKNSSDCR120GB-G2', 'Mushkin', '54.89', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDPE2ME800G401', 'Intel', '1202.99', 'N/A', 'SSD', '800GB');
INSERT INTO HARD_DRIVE VALUES( '0F23267', 'Hitachi', '599.00', '128MB', '7200RPM', '8TB');
INSERT INTO HARD_DRIVE VALUES( 'MKNSSDAV500GB-D8', 'Mushkin', '169.99', 'N/A', 'SSD', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'ST1000LM028', 'Seagate', '119.98', 'N/A', 'Hybrid', '1TB');
INSERT INTO HARD_DRIVE VALUES( 'PX-512M6Pro', 'Plextor', '301.48', 'N/A', 'SSD', '512GB');
INSERT INTO HARD_DRIVE VALUES( 'ST3250824AS', 'Seagate', '33.94', '8MB', '7200RPM', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'ST3250410AS', 'Seagate', '45.00', '16MB', '7200RPM', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'SSDSC2BA800G401', 'Intel', '1016.00', 'N/A', 'SSD', '800GB');
INSERT INTO HARD_DRIVE VALUES( 'SVP200S37A/120G', 'Kingston', '109.00', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'ST3250312CS', 'Seagate', '0', '8MB', '5900RPM', '250GB');
INSERT INTO HARD_DRIVE VALUES( 'SD7UB3Q-128G-1122', 'Sandisk', '62.95', 'N/A', 'SSD', '128GB');
INSERT INTO HARD_DRIVE VALUES( 'WDBAAX3200ENC-NRSN', 'Western Digital', '39.99', '16MB', '7200RPM', '320GB');
INSERT INTO HARD_DRIVE VALUES( 'MQ01ABF050H', 'Toshiba', '0', '32MB', 'Hybrid', '500GB');
INSERT INTO HARD_DRIVE VALUES( 'HUH728080ALE600', 'Hitachi', '547.99', '128MB', '7200RPM', '8TB');
INSERT INTO HARD_DRIVE VALUES( 'MKNSSDAV120GB-D8', 'Mushkin', '62.95', 'N/A', 'SSD', '120GB');
INSERT INTO HARD_DRIVE VALUES( 'ST480FP0021', 'Seagate', '300.00', 'N/A', 'SSD', '480GB');
INSERT INTO HARD_DRIVE VALUES( 'ST3750528AS', 'Seagate', '105.59', '32MB', '7200RPM', '750GB');
